10:33:14 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1
10:33:24 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:33:24 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
10:33:24 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 13172 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
10:33:24 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
10:33:25 [main] INFO  p.service1.service1.service.Service1 - Service started
10:33:25 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1
10:33:25 [main] INFO  p.service1.service1.service.Service1 - Service started
10:33:25 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1
10:33:26 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.581 seconds (process running for 13.528)
10:33:27 [main] INFO  p.service1.service1.service.Service1 - Service started
10:33:27 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
10:33:27 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1
14:32:12 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:32:22 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:32:22 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
14:32:23 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 27508 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
14:32:23 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:32:23 [main] INFO  p.service1.service1.service.Service1 - Service started
14:32:23 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:32:23 [main] INFO  p.service1.service1.service.Service1 - Service started
14:32:23 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:32:24 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.414 seconds (process running for 12.809)
14:32:25 [main] INFO  p.service1.service1.service.Service1 - Service started
14:32:25 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:32:25 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
14:44:17 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:44:27 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:44:27 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
14:44:27 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 20044 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
14:44:27 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:44:28 [main] INFO  p.service1.service1.service.Service1 - Service started
14:44:28 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:44:28 [main] INFO  p.service1.service1.service.Service1 - Service started
14:44:28 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:44:29 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.555 seconds (process running for 13.045)
14:44:30 [main] INFO  p.service1.service1.service.Service1 - Service started
14:44:30 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:44:30 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
14:45:13 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:23 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:45:24 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
14:45:24 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 6816 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
14:45:24 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:45:25 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:25 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:25 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:25 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:25 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.627 seconds (process running for 12.924)
14:45:26 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:26 [main] INFO  p.service1.service1.service.Service1 - Method: generateJson | Size: 10
14:45:26 [Thread-5] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:35 [Thread-1] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:46 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [pl.service1.service1.Service1ApplicationTests]: Service1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:45:46 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration pl.service1.service1.Service1Application for test class pl.service1.service1.Service1ApplicationTests
14:45:46 [main] INFO  p.s.s.Service1ApplicationTests - Starting Service1ApplicationTests using Java 17.0.11 with PID 18568 (started by Gazda Karol in C:\Users\Gazda Karol\Desktop\serwisy_java\service1)
14:45:46 [main] INFO  p.s.s.Service1ApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:45:47 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:47 [Thread-3] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:47 [main] INFO  p.service1.service1.service.Service1 - Service started
14:45:47 [Thread-4] INFO  p.s.s.s.s.r.ResourcesUsageReport - Start of making a resource usage report | Delay: 1 sec
14:45:47 [main] INFO  p.s.s.Service1ApplicationTests - Started Service1ApplicationTests in 1.49 seconds (process running for 12.762)
